Date,Value
01-01-1985,71.5943
01-02-1985,69.7893
01-03-1985,61.6809
01-04-1985,56.7497
01-05-1985,54.6182
01-06-1985,57.3528
01-07-1985,61.8214
01-08-1985,62.4449
01-09-1985,59.843
01-10-1985,55.6117
01-11-1985,57.2698
01-12-1985,67.8466
01-01-1986,72.3975
01-02-1986,67.1452
01-03-1986,61.46
01-04-1986,56.3369
01-05-1986,55.1238
01-06-1986,59.1365
01-07-1986,64.9229
01-08-1986,63.679
01-09-1986,60.2601
01-10-1986,56.8356
01-11-1986,58.6074
01-12-1986,67.3092
01-01-1987,72.9113
01-02-1987,69.2043
01-03-1987,64.8135
01-04-1987,59.4215
01-05-1987,58.1425
01-06-1987,63.0777
01-07-1987,67.9967
01-08-1987,69.1874
01-09-1987,63.3379
01-10-1987,59.6356
01-11-1987,61.6862
01-12-1987,69.7097
01-01-1988,78.8866
01-02-1988,75.222
01-03-1988,69.4421
01-04-1988,62.4767
01-05-1988,60.6575
01-06-1988,66.2688
01-07-1988,72.0743
01-08-1988,74.8131
01-09-1988,66.7103
01-10-1988,62.511
01-11-1988,64.2953
01-12-1988,72.9427
01-01-1989,76.9693
01-02-1989,75.7016
01-03-1989,72.4389
01-04-1989,64.2923
01-05-1989,62.9075
01-06-1989,67.6328
01-07-1989,73.1397
01-08-1989,74.1457
01-09-1989,68.472
01-10-1989,65.0749
01-11-1989,68.2207
01-12-1989,83.1429
01-01-1990,83.3799
01-02-1990,76.2653
01-03-1990,72.3234
01-04-1990,66.4556
01-05-1990,65.0281
01-06-1990,70.5829
01-07-1990,75.6895
01-08-1990,76.171
01-09-1990,72.1821
01-10-1990,66.6133
01-11-1990,67.74
01-12-1990,76.7537
01-01-1991,85.002
01-02-1991,76.6402
01-03-1991,72.5062
01-04-1991,66.3484
01-05-1991,67.9915
01-06-1991,73.962
01-07-1991,79.1482
01-08-1991,78.2187
01-09-1991,72.7097
01-10-1991,67.9269
01-11-1991,71.6291
01-12-1991,78.5476
01-01-1992,84.2776
01-02-1992,79.2162
01-03-1992,73.6222
01-04-1992,68.7932
01-05-1992,66.3713
01-06-1992,70.3526
01-07-1992,76.5649
01-08-1992,75.6319
01-09-1992,71.4838
01-10-1992,68.2018
01-11-1992,72.616
01-12-1992,83.5149
01-01-1993,86.9103
01-02-1993,83.5249
01-03-1993,78.4978
01-04-1993,70.2081
01-05-1993,66.8964
01-06-1993,73.4364
01-07-1993,81.1063
01-08-1993,81.061
01-09-1993,73.7141
01-10-1993,68.8317
01-11-1993,73.5127
01-12-1993,83.2048
01-01-1994,92.9911
01-02-1994,86.0992
01-03-1994,78.2876
01-04-1994,70.1181
01-05-1994,68.5535
01-06-1994,77.0304
01-07-1994,82.2806
01-08-1994,80.9048
01-09-1994,74.7837
01-10-1994,70.4121
01-11-1994,74.3476
01-12-1994,83.8059
01-01-1995,91.3554
01-02-1995,86.3571
01-03-1995,80.3024
01-04-1995,72.9393
01-05-1995,72.4021
01-06-1995,77.3766
01-07-1995,84.9538
01-08-1995,88.4644
01-09-1995,77.5676
01-10-1995,72.8306
01-11-1995,78.6965
01-12-1995,89.7321
01-01-1996,97.7855
01-02-1996,91.777
01-03-1996,85.9044
01-04-1996,76.3139
01-05-1996,75.7842
01-06-1996,80.9677
01-07-1996,84.9436
01-08-1996,85.5267
01-09-1996,78.2555
01-10-1996,73.7917
01-11-1996,80.0852
01-12-1996,89.3969
01-01-1997,97.2727
01-02-1997,88.703
01-03-1997,82.023
01-04-1997,75.238
01-05-1997,72.9708
01-06-1997,78.8182
01-07-1997,87.3912
01-08-1997,86.7331
01-09-1997,80.9522
01-10-1997,76.5652
01-11-1997,81.0508
01-12-1997,90.9822
01-01-1998,93.6496
01-02-1998,86.7676
01-03-1998,85.5153
01-04-1998,75.8325
01-05-1998,77.0958
01-06-1998,85.4167
01-07-1998,92.7016
01-08-1998,92.3939
01-09-1998,86.4797
01-10-1998,79.1293
01-11-1998,80.4538
01-12-1998,90.5811
01-01-1999,100.9159
01-02-1999,90.1004
01-03-1999,89.6636
01-04-1999,79.5431
01-05-1999,78.4474
01-06-1999,86.8037
01-07-1999,96.3147
01-08-1999,95.2565
01-09-1999,86.1813
01-10-1999,79.6564
01-11-1999,81.2076
01-12-1999,93.3584
01-01-2000,100.9655
01-02-2000,93.1095
01-03-2000,87.0262
01-04-2000,80.4459
01-05-2000,83.4576
01-06-2000,89.9646
